Unnamed: 0,Order,PID,MS SubClass,MS Zoning,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Exter Qual,Exter Cond,Foundation,Heating,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
10,11,527163010,60,RL,10000,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,TA,TA,PConc,GasA,Gd,Y,763,892,0,1655,2,1,3,1,TA,7,Typ,1,Y,157,84,0,0,0,0,0,4,2010,WD ,Normal,175900
11,12,527165230,20,RL,7980,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,TA,Gd,PConc,GasA,Ex,Y,1187,0,0,1187,2,0,3,1,TA,6,Typ,0,Y,483,21,0,0,0,0,500,3,2010,WD ,Normal,185000
12,13,527166040,60,RL,8402,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,GasA,Gd,Y,789,676,0,1465,2,1,3,1,TA,7,Typ,1,Y,0,75,0,0,0,0,0,5,2010,WD ,Normal,180400
13,14,527180040,20,RL,10176,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,TA,TA,PConc,GasA,Gd,Y,1341,0,0,1341,1,1,2,1,Gd,5,Typ,1,Y,192,0,0,0,0,0,0,2,2010,WD ,Normal,171500
14,15,527182190,120,RL,6820,Pave,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,Gd,TA,PConc,GasA,TA,Y,1502,0,0,1502,1,1,1,1,Gd,4,Typ,0,Y,0,54,0,0,140,0,0,6,2010,WD ,Normal,212000
15,16,527216070,60,RL,53504,Pave,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,Ex,TA,PConc,GasA,Ex,Y,1690,1589,0,3279,3,1,4,1,Ex,12,Mod,1,Y,503,36,0,0,210,0,0,6,2010,WD ,Normal,538000
16,17,527225035,50,RL,12134,Pave,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,Gd,TA,Wood,GasA,Gd,Y,1080,672,0,1752,2,0,4,1,TA,8,Typ,0,Y,325,12,0,0,0,0,0,6,2010,WD ,Normal,164000
17,18,527258010,20,RL,11394,Pave,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1856,0,0,1856,1,1,1,1,Ex,8,Typ,1,Y,113,0,0,0,0,0,0,6,2010,New,Partial,394432
18,19,527276150,20,RL,19138,Pave,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,TA,TA,CBlock,GasA,Ex,Y,864,0,0,864,1,0,2,1,TA,4,Typ,0,Y,0,0,0,0,0,0,0,6,2010,WD ,Normal,141000
19,20,527302110,20,RL,13175,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,GasA,TA,Y,2073,0,0,2073,2,0,3,1,TA,7,Min1,2,Y,349,0,0,0,0,0,0,2,2010,WD ,Normal,210000
20,21,527358140,20,RL,11751,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,TA,TA,CBlock,GasA,Ex,Y,1844,0,0,1844,2,0,3,1,TA,7,Typ,1,Y,0,122,0,0,0,0,0,1,2010,COD,Normal,190000
21,22,527358200,85,RL,10625,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,GasA,TA,Y,1173,0,0,1173,2,0,3,1,Gd,6,Typ,2,Y,0,120,0,0,0,0,0,1,2010,WD ,Family,170000
22,23,527368020,60,FV,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,814,860,0,1674,2,1,3,1,Gd,7,Typ,0,Y,0,96,0,0,0,0,0,1,2010,WD ,Normal,216000
23,24,527402200,20,RL,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,GasA,Ex,Y,1004,0,0,1004,1,0,2,1,TA,5,Typ,1,Y,0,0,0,0,0,0,700,3,2010,WD ,Normal,149000
24,25,527402250,20,RL,12537,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,TA,TA,CBlock,GasA,Ex,Y,1078,0,0,1078,1,1,3,1,TA,6,Typ,1,Y,0,0,0,0,0,0,0,4,2010,WD ,Normal,149900
25,26,527403020,20,RL,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,TA,TA,CBlock,GasA,Ex,Y,1056,0,0,1056,1,0,3,1,TA,6,Typ,1,Y,0,85,184,0,0,0,0,7,2010,WD ,Normal,142000
26,27,527404120,20,RL,8400,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,GasA,TA,Y,882,0,0,882,1,0,2,1,TA,4,Typ,0,Y,240,0,0,0,0,0,0,4,2010,WD ,Normal,126000
27,28,527425090,20,RL,10500,Pave,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,GasA,TA,Y,864,0,0,864,1,0,3,1,TA,5,Typ,1,Y,0,0,0,0,0,0,0,4,2010,ConLI,Normal,115000
28,29,527427230,120,RH,5858,Pave,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,Gd,TA,PConc,GasA,Ex,Y,1337,0,0,1337,2,0,2,1,Gd,5,Typ,1,Y,203,68,0,0,0,0,0,6,2010,WD ,Normal,184000
29,30,527451180,160,RM,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,GasA,TA,Y,483,504,0,987,1,1,2,1,TA,5,Typ,0,Y,275,0,0,0,0,0,0,2,2010,COD,Normal,96000
30,31,527451330,160,RM,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,GasA,TA,Y,525,567,0,1092,1,1,3,1,TA,6,Typ,0,Y,0,0,0,0,0,0,0,3,2010,WD ,Normal,105500
31,32,527451410,160,RM,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,TA,TA,CBlock,GasA,TA,Y,525,567,0,1092,1,1,3,1,TA,6,Typ,0,Y,0,0,0,0,0,0,0,3,2010,WD ,Family,88000
32,33,527452190,120,RL,4043,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,GasA,TA,Y,1069,0,0,1069,2,0,2,1,TA,4,Typ,1,Y,0,55,0,0,165,0,0,7,2010,WD ,Normal,127500
33,34,527453130,160,RL,2280,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,TA,TA,CBlock,GasA,TA,Y,855,601,0,1456,2,1,3,1,Gd,6,Typ,1,Y,173,0,0,0,0,0,0,6,2010,WD ,Normal,149900
34,35,527453150,120,RL,2280,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,TA,TA,CBlock,GasA,Ex,Y,836,0,0,836,1,0,2,1,TA,4,Typ,0,Y,0,30,0,0,0,0,0,6,2010,WD ,Normal,120000
35,36,527454200,160,RL,2280,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,TA,TA,CBlock,GasA,Fa,Y,855,601,0,1456,2,1,3,1,TA,7,Typ,1,Y,26,0,0,0,0,0,0,7,2010,WD ,Normal,146000
36,37,528108120,60,RL,12858,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Ex,TA,PConc,GasA,Ex,Y,1627,707,0,2334,2,1,3,1,Ex,10,Typ,1,Y,144,133,0,0,0,0,0,1,2010,New,Partial,376162
37,38,528112020,20,RL,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1704,0,0,1704,2,0,3,1,Gd,7,Typ,1,Y,0,50,0,0,0,0,0,5,2010,WD ,Normal,306000
38,39,528120060,20,RL,10159,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Ex,TA,PConc,GasA,Ex,Y,1940,0,0,1940,2,1,3,1,Ex,8,Typ,1,Y,168,95,0,0,0,0,0,4,2010,New,Partial,395192
39,40,528120090,20,RL,12883,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1544,0,0,1544,2,0,3,1,Gd,7,Typ,0,Y,0,35,0,0,0,0,0,6,2010,New,Partial,290941
40,41,528120100,20,RL,12182,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1541,0,0,1541,2,0,3,1,Gd,7,Typ,1,Y,0,70,0,0,0,0,0,5,2010,New,Partial,220000
41,42,528120120,20,RL,11520,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1698,0,0,1698,2,0,3,1,Ex,7,Typ,1,Y,192,74,0,0,0,0,0,6,2010,WD ,Normal,275000
42,43,528138020,20,RL,14122,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,Gd,TA,PConc,GasA,Ex,Y,1822,0,0,1822,2,0,3,1,Ex,8,Typ,1,Y,0,119,0,0,0,0,0,2,2010,WD ,Normal,259000
43,44,528138060,20,RL,10171,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1535,0,0,1535,2,0,3,1,Gd,7,Typ,0,Y,0,0,0,0,0,0,0,3,2010,WD ,Normal,214000
44,45,528150070,20,RL,12919,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Ex,TA,PConc,GasA,Ex,Y,2364,0,0,2364,2,1,2,1,Ex,11,Typ,2,Y,0,67,0,0,0,0,0,3,2010,New,Partial,611657
45,46,528175010,120,RL,6371,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1358,0,0,1358,2,0,2,1,Gd,6,Typ,1,Y,192,35,0,0,0,0,0,6,2010,New,Partial,224000
46,47,528176010,20,RL,14300,Pave,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,Ex,TA,PConc,GasA,Ex,Y,2696,0,0,2696,2,1,3,1,Ex,10,Typ,2,Y,220,150,0,0,0,0,0,6,2010,WD ,Normal,500000
47,48,528176070,60,RL,13650,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1687,563,0,2250,2,1,3,1,Gd,7,Typ,1,Y,238,130,0,0,0,0,0,6,2010,WD ,Normal,320000
48,49,528180070,120,RL,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,GasA,Ex,Y,1752,0,0,1752,2,0,2,1,Ex,6,Typ,1,Y,196,82,0,0,0,0,0,2,2010,WD ,Normal,319900
49,50,528181050,120,RL,7132,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1370,0,0,1370,2,0,2,1,Gd,6,Typ,1,Y,120,49,0,0,0,0,0,4,2010,WD ,Normal,205000
50,51,528188120,160,RL,2628,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,Wd Shng,Gd,TA,PConc,GasA,Ex,Y,764,862,0,1626,2,1,2,1,Gd,6,Typ,0,Y,0,27,0,0,0,0,0,6,2010,WD ,Normal,175500
51,52,528218150,20,RL,18494,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1324,0,0,1324,2,0,3,1,Gd,6,Typ,0,Y,36,23,0,0,0,0,0,1,2010,WD ,Normal,199500
52,53,528228285,120,RL,3203,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1145,0,0,1145,2,0,2,1,Gd,6,Typ,0,Y,100,116,0,0,0,0,0,1,2010,WD ,Normal,160000
53,54,528228440,120,RL,3182,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1269,0,0,1269,2,0,2,1,Gd,6,Typ,1,Y,146,20,0,0,144,0,0,4,2010,WD ,Normal,192000
54,55,528231020,80,RL,13300,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,744,630,0,1374,2,1,3,1,Gd,7,Typ,1,Y,100,0,0,0,0,0,0,6,2010,WD ,Normal,184500
55,56,528240070,60,RL,7851,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,860,1100,0,1960,2,1,4,1,Gd,8,Typ,2,Y,288,48,0,0,0,0,0,5,2010,WD ,Normal,216500
56,57,528240130,60,RL,8577,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,847,886,0,1733,2,1,3,1,Gd,7,Typ,1,Y,144,48,0,0,0,0,0,4,2010,WD ,Normal,185088
57,58,528250100,80,RL,7750,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,GasA,Ex,Y,774,656,0,1430,2,1,3,1,TA,7,Typ,1,Y,180,0,0,0,0,0,0,4,2010,WD ,Normal,180000
58,59,528292020,60,RL,9505,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,884,1151,0,2035,2,1,3,1,Gd,8,Typ,1,Y,144,48,0,0,0,0,0,5,2010,WD ,Normal,222500
59,60,528328100,60,RL,14774,Pave,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,9,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1422,1177,0,2599,2,1,4,1,Gd,10,Typ,1,Y,668,30,0,0,0,0,0,5,2010,WD ,Normal,333168
60,61,528344070,60,RL,17433,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1645,830,0,2475,2,1,4,1,Gd,7,Typ,1,Y,23,172,0,0,256,0,0,1,2010,WD ,Normal,355000
61,62,528358010,20,RL,10593,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1Story,7,5,1996,1996,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1720,0,0,1720,2,0,3,1,Gd,7,Typ,1,Y,240,56,154,0,0,0,0,3,2010,WD ,Normal,260400
62,63,528363130,60,RL,12256,Pave,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1994,1995,Gable,CompShg,HdBoard,HdBoard,Gd,TA,PConc,GasA,Ex,Y,1500,1122,0,2622,2,1,3,1,Gd,9,Typ,2,Y,186,32,0,0,0,0,0,4,2010,WD ,Normal,325000
63,64,528382020,60,RL,11764,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,7,1999,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1164,1106,0,2270,2,1,4,1,Gd,9,Typ,1,Y,132,57,0,0,0,0,0,4,2010,WD ,Normal,290000
64,65,528382030,60,RL,16770,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Gd,Y,1195,644,0,1839,2,1,4,1,TA,7,Typ,0,Y,0,81,0,0,0,0,0,6,2010,WD ,Normal,221000
65,66,528386040,50,RL,14720,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,1.5Fin,8,5,1995,1996,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,2053,1185,0,3238,2,1,4,1,Gd,9,Typ,1,Y,283,86,0,0,0,0,0,3,2010,WD ,Normal,410000
66,67,528445060,20,RL,8987,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1595,0,0,1595,2,0,2,1,Gd,6,Typ,1,Y,144,0,0,0,0,0,0,5,2010,WD ,Normal,221500
67,68,528456160,20,FV,9215,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1218,0,0,1218,2,0,2,1,Gd,4,Typ,0,Y,0,136,0,0,0,0,0,4,2010,New,Partial,204500
68,69,528458070,60,FV,8640,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,GasA,Ex,Y,764,783,0,1547,2,1,3,1,Gd,7,Typ,0,Y,169,45,0,0,0,0,0,6,2010,Con,Normal,215200
69,70,528458110,20,FV,9000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1566,0,0,1566,2,0,3,1,Gd,7,Typ,0,Y,144,168,0,0,0,0,0,4,2010,WD ,Normal,262500
70,71,528477080,60,FV,12552,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,991,956,0,1947,2,1,3,1,Gd,8,Typ,1,Y,0,136,0,0,0,0,0,5,2010,WD ,Normal,254900
71,72,528480090,20,FV,10440,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1468,0,0,1468,2,0,2,1,Gd,6,Typ,1,Y,0,102,0,0,216,0,0,5,2010,WD ,Normal,271500
